,mp,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,mp_max,mp_max,fg_max,fga_max,fg%_max,3p_max,3pa_max,3p%_max,ft_max,fta_max,ft%_max,orb_max,drb_max,trb_max,ast_max,stl_max,blk_max,tov_max,pf_max,pts_max,+/-_max,ts%_max,efg%_max,3par_max,ftr_max,orb%_max,drb%_max,trb%_max,ast%_max,stl%_max,blk%_max,tov%_max,usg%_max,ortg_max,drtg_max,team,total,home,index_opp,mp_opp,mp_opp,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,+/-_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,mp_max_opp,mp_max_opp,fg_max_opp,fga_max_opp,fg%_max_opp,3p_max_opp,3pa_max_opp,3p%_max_opp,ft_max_opp,fta_max_opp,ft%_max_opp,orb_max_opp,drb_max_opp,trb_max_opp,ast_max_opp,stl_max_opp,blk_max_opp,tov_max_opp,pf_max_opp,pts_max_opp,+/-_max_opp,ts%_max_opp,efg%_max_opp,3par_max_opp,ftr_max_opp,orb%_max_opp,drb%_max_opp,trb%_max_opp,ast%_max_opp,stl%_max_opp,blk%_max_opp,tov%_max_opp,usg%_max_opp,ortg_max_opp,drtg_max_opp,team_opp,total_opp,home_opp,season,date,won
10,240.0,240.0,42.0,79.0,0.532,14.0,35.0,0.4,20.0,26.0,0.769,6.0,38.0,44.0,30.0,7.0,3.0,17.0,21.0,118.0,,0.652,0.62,0.443,0.329,17.6,76.0,52.4,71.4,7.1,6.5,15.8,100.0,119.8,109.7,,,12.0,16.0,0.8,6.0,9.0,0.667,7.0,10.0,1.0,3.0,10.0,13.0,12.0,3.0,1.0,4.0,4.0,30.0,15.0,0.938,0.938,1.0,1.8,11.6,26.2,20.3,45.0,4.3,6.1,30.9,37.6,142.0,119.0,MIN,118,0,1,240.0,240.0,39.0,90.0,0.433,13.0,44.0,0.295,17.0,24.0,0.708,12.0,28.0,40.0,22.0,9.0,0.0,11.0,20.0,108.0,,0.537,0.506,0.489,0.267,24.0,82.4,47.6,56.4,9.1,0.0,9.9,100.0,109.7,119.8,,,9.0,20.0,1.0,5.0,12.0,1.0,5.0,7.0,1.0,5.0,5.0,10.0,6.0,2.0,0.0,5.0,3.0,23.0,4.0,1.25,1.25,0.667,0.625,18.0,26.6,21.5,43.1,4.7,0.0,20.0,33.6,245.0,125.0,UTA,108,1,2023,2022-12-09,True
11,240.0,240.0,39.0,90.0,0.433,13.0,44.0,0.295,17.0,24.0,0.708,12.0,28.0,40.0,22.0,9.0,0.0,11.0,20.0,108.0,,0.537,0.506,0.489,0.267,24.0,82.4,47.6,56.4,9.1,0.0,9.9,100.0,109.7,119.8,,,9.0,20.0,1.0,5.0,12.0,1.0,5.0,7.0,1.0,5.0,5.0,10.0,6.0,2.0,0.0,5.0,3.0,23.0,4.0,1.25,1.25,0.667,0.625,18.0,26.6,21.5,43.1,4.7,0.0,20.0,33.6,245.0,125.0,UTA,108,1,0,240.0,240.0,42.0,79.0,0.532,14.0,35.0,0.4,20.0,26.0,0.769,6.0,38.0,44.0,30.0,7.0,3.0,17.0,21.0,118.0,,0.652,0.62,0.443,0.329,17.6,76.0,52.4,71.4,7.1,6.5,15.8,100.0,119.8,109.7,,,12.0,16.0,0.8,6.0,9.0,0.667,7.0,10.0,1.0,3.0,10.0,13.0,12.0,3.0,1.0,4.0,4.0,30.0,15.0,0.938,0.938,1.0,1.8,11.6,26.2,20.3,45.0,4.3,6.1,30.9,37.6,142.0,119.0,MIN,118,0,2023,2022-12-09,False
12,240.0,240.0,36.0,77.0,0.468,12.0,35.0,0.343,16.0,20.0,0.8,10.0,36.0,46.0,24.0,8.0,13.0,16.0,18.0,100.0,,0.583,0.545,0.455,0.26,25.6,64.3,48.4,66.7,8.8,20.6,15.7,100.0,110.0,101.2,,,8.0,22.0,0.75,5.0,16.0,1.0,4.0,6.0,1.0,4.0,7.0,11.0,8.0,2.0,4.0,4.0,4.0,22.0,19.0,0.868,0.833,1.0,2.0,23.5,28.6,26.5,41.5,9.5,14.5,50.0,31.7,171.0,112.0,GSW,100,0,1,240.0,240.0,35.0,97.0,0.361,8.0,34.0,0.235,14.0,17.0,0.824,20.0,29.0,49.0,22.0,9.0,3.0,12.0,18.0,92.0,,0.44,0.402,0.351,0.175,35.7,74.4,51.6,62.9,9.9,7.1,10.3,100.0,101.2,110.0,,,12.0,24.0,0.5,2.0,8.0,0.667,5.0,6.0,1.0,7.0,10.0,16.0,12.0,3.0,1.0,9.0,5.0,25.0,12.0,0.625,0.625,0.75,0.5,18.1,36.4,22.3,54.7,4.7,8.0,29.7,32.8,133.0,116.0,POR,92,1,2024,2024-04-11,True
13,240.0,240.0,35.0,97.0,0.361,8.0,34.0,0.235,14.0,17.0,0.824,20.0,29.0,49.0,22.0,9.0,3.0,12.0,18.0,92.0,,0.44,0.402,0.351,0.175,35.7,74.4,51.6,62.9,9.9,7.1,10.3,100.0,101.2,110.0,,,12.0,24.0,0.5,2.0,8.0,0.667,5.0,6.0,1.0,7.0,10.0,16.0,12.0,3.0,1.0,9.0,5.0,25.0,12.0,0.625,0.625,0.75,0.5,18.1,36.4,22.3,54.7,4.7,8.0,29.7,32.8,133.0,116.0,POR,92,1,0,240.0,240.0,36.0,77.0,0.468,12.0,35.0,0.343,16.0,20.0,0.8,10.0,36.0,46.0,24.0,8.0,13.0,16.0,18.0,100.0,,0.583,0.545,0.455,0.26,25.6,64.3,48.4,66.7,8.8,20.6,15.7,100.0,110.0,101.2,,,8.0,22.0,0.75,5.0,16.0,1.0,4.0,6.0,1.0,4.0,7.0,11.0,8.0,2.0,4.0,4.0,4.0,22.0,19.0,0.868,0.833,1.0,2.0,23.5,28.6,26.5,41.5,9.5,14.5,50.0,31.7,171.0,112.0,GSW,100,0,2024,2024-04-11,False
14,240.0,240.0,40.0,94.0,0.426,23.0,46.0,0.5,22.0,26.0,0.846,17.0,36.0,53.0,31.0,7.0,1.0,10.0,25.0,125.0,,0.593,0.548,0.489,0.277,37.8,85.7,60.9,77.5,7.5,2.3,8.7,100.0,133.2,123.6,,,8.0,16.0,1.0,6.0,11.0,0.667,10.0,10.0,1.0,7.0,8.0,14.0,8.0,3.0,1.0,3.0,4.0,32.0,25.0,0.784,1.0,0.875,2.0,22.2,24.0,22.9,39.1,4.6,3.5,20.0,28.1,161.0,130.0,IND,125,0,1,240.0,240.0,41.0,82.0,0.5,14.0,39.0,0.359,20.0,26.0,0.769,6.0,28.0,34.0,29.0,6.0,9.0,9.0,20.0,116.0,,0.621,0.585,0.476,0.317,14.3,62.2,39.1,70.7,6.4,18.8,8.8,100.0,123.6,133.2,,,13.0,22.0,0.667,5.0,12.0,0.5,9.0,9.0,1.0,2.0,7.0,9.0,9.0,3.0,4.0,3.0,4.0,35.0,4.0,0.926,0.833,1.0,1.0,10.4,41.6,22.5,40.1,4.0,10.3,25.0,32.6,182.0,146.0,BRK,116,1,2023,2022-10-29,True
15,240.0,240.0,41.0,82.0,0.5,14.0,39.0,0.359,20.0,26.0,0.769,6.0,28.0,34.0,29.0,6.0,9.0,9.0,20.0,116.0,,0.621,0.585,0.476,0.317,14.3,62.2,39.1,70.7,6.4,18.8,8.8,100.0,123.6,133.2,,,13.0,22.0,0.667,5.0,12.0,0.5,9.0,9.0,1.0,2.0,7.0,9.0,9.0,3.0,4.0,3.0,4.0,35.0,4.0,0.926,0.833,1.0,1.0,10.4,41.6,22.5,40.1,4.0,10.3,25.0,32.6,182.0,146.0,BRK,116,1,0,240.0,240.0,40.0,94.0,0.426,23.0,46.0,0.5,22.0,26.0,0.846,17.0,36.0,53.0,31.0,7.0,1.0,10.0,25.0,125.0,,0.593,0.548,0.489,0.277,37.8,85.7,60.9,77.5,7.5,2.3,8.7,100.0,133.2,123.6,,,8.0,16.0,1.0,6.0,11.0,0.667,10.0,10.0,1.0,7.0,8.0,14.0,8.0,3.0,1.0,3.0,4.0,32.0,25.0,0.784,1.0,0.875,2.0,22.2,24.0,22.9,39.1,4.6,3.5,20.0,28.1,161.0,130.0,IND,125,0,2023,2022-10-29,False
16,240.0,240.0,48.0,98.0,0.49,15.0,38.0,0.395,14.0,17.0,0.824,11.0,37.0,48.0,36.0,3.0,4.0,7.0,20.0,125.0,,0.593,0.566,0.388,0.173,25.0,67.3,48.5,75.0,3.1,5.9,6.2,100.0,129.3,116.8,,,10.0,16.0,0.714,5.0,9.0,0.667,5.0,5.0,1.0,4.0,11.0,12.0,13.0,2.0,2.0,2.0,5.0,26.0,21.0,0.825,0.857,0.583,0.4,14.5,32.6,19.8,52.0,4.0,4.8,16.7,29.5,175.0,127.0,IND,125,0,1,240.0,240.0,43.0,99.0,0.434,12.0,31.0,0.387,15.0,24.0,0.625,18.0,33.0,51.0,29.0,2.0,6.0,6.0,16.0,113.0,,0.516,0.495,0.313,0.242,32.7,75.0,51.5,67.4,2.1,10.0,5.2,100.0,116.8,129.3,,,12.0,28.0,0.667,4.0,10.0,1.0,8.0,10.0,1.0,5.0,10.0,14.0,8.0,1.0,3.0,2.0,4.0,33.0,3.0,0.667,0.667,1.0,0.455,41.6,29.6,28.9,36.2,8.4,7.2,9.1,35.5,228.0,136.0,CLE,113,1,2024,2023-10-28,True
17,240.0,240.0,43.0,99.0,0.434,12.0,31.0,0.387,15.0,24.0,0.625,18.0,33.0,51.0,29.0,2.0,6.0,6.0,16.0,113.0,,0.516,0.495,0.313,0.242,32.7,75.0,51.5,67.4,2.1,10.0,5.2,100.0,116.8,129.3,,,12.0,28.0,0.667,4.0,10.0,1.0,8.0,10.0,1.0,5.0,10.0,14.0,8.0,1.0,3.0,2.0,4.0,33.0,3.0,0.667,0.667,1.0,0.455,41.6,29.6,28.9,36.2,8.4,7.2,9.1,35.5,228.0,136.0,CLE,113,1,0,240.0,240.0,48.0,98.0,0.49,15.0,38.0,0.395,14.0,17.0,0.824,11.0,37.0,48.0,36.0,3.0,4.0,7.0,20.0,125.0,,0.593,0.566,0.388,0.173,25.0,67.3,48.5,75.0,3.1,5.9,6.2,100.0,129.3,116.8,,,10.0,16.0,0.714,5.0,9.0,0.667,5.0,5.0,1.0,4.0,11.0,12.0,13.0,2.0,2.0,2.0,5.0,26.0,21.0,0.825,0.857,0.583,0.4,14.5,32.6,19.8,52.0,4.0,4.8,16.7,29.5,175.0,127.0,IND,125,0,2024,2023-10-28,False
18,240.0,240.0,41.0,102.0,0.402,10.0,33.0,0.303,11.0,17.0,0.647,16.0,30.0,46.0,23.0,9.0,11.0,10.0,26.0,103.0,,0.47,0.451,0.324,0.167,27.6,65.2,44.2,56.1,9.0,18.3,8.4,100.0,102.5,111.5,,,13.0,23.0,0.625,3.0,7.0,0.5,7.0,7.0,1.0,6.0,5.0,8.0,5.0,3.0,4.0,3.0,5.0,33.0,11.0,0.688,0.688,0.875,0.571,18.8,28.7,14.0,25.7,7.3,8.4,23.1,28.6,149.0,122.0,OKC,103,0,1,240.0,240.0,39.0,93.0,0.419,9.0,33.0,0.273,25.0,33.0,0.758,16.0,42.0,58.0,20.0,6.0,9.0,14.0,19.0,112.0,,0.521,0.468,0.355,0.355,34.8,72.4,55.8,51.3,6.0,13.0,11.5,100.0,111.5,102.5,,,8.0,21.0,0.667,2.0,7.0,0.5,8.0,8.0,1.0,5.0,10.0,12.0,7.0,2.0,3.0,5.0,5.0,25.0,29.0,0.709,0.667,0.636,1.2,29.3,25.0,20.9,33.4,3.6,9.8,25.4,30.8,135.0,114.0,DET,112,1,2023,2022-11-07,False
19,240.0,240.0,39.0,93.0,0.419,9.0,33.0,0.273,25.0,33.0,0.758,16.0,42.0,58.0,20.0,6.0,9.0,14.0,19.0,112.0,,0.521,0.468,0.355,0.355,34.8,72.4,55.8,51.3,6.0,13.0,11.5,100.0,111.5,102.5,,,8.0,21.0,0.667,2.0,7.0,0.5,8.0,8.0,1.0,5.0,10.0,12.0,7.0,2.0,3.0,5.0,5.0,25.0,29.0,0.709,0.667,0.636,1.2,29.3,25.0,20.9,33.4,3.6,9.8,25.4,30.8,135.0,114.0,DET,112,1,0,240.0,240.0,41.0,102.0,0.402,10.0,33.0,0.303,11.0,17.0,0.647,16.0,30.0,46.0,23.0,9.0,11.0,10.0,26.0,103.0,,0.47,0.451,0.324,0.167,27.6,65.2,44.2,56.1,9.0,18.3,8.4,100.0,102.5,111.5,,,13.0,23.0,0.625,3.0,7.0,0.5,7.0,7.0,1.0,6.0,5.0,8.0,5.0,3.0,4.0,3.0,5.0,33.0,11.0,0.688,0.688,0.875,0.571,18.8,28.7,14.0,25.7,7.3,8.4,23.1,28.6,149.0,122.0,OKC,103,0,2023,2022-11-07,True
20,240.0,240.0,43.0,89.0,0.483,18.0,41.0,0.439,24.0,25.0,0.96,10.0,39.0,49.0,27.0,7.0,7.0,11.0,22.0,128.0,,0.64,0.584,0.461,0.281,25.0,83.0,56.3,62.8,7.2,12.1,9.9,100.0,131.4,94.5,,,11.0,20.0,0.889,4.0,9.0,0.667,6.0,6.0,1.0,3.0,12.0,15.0,6.0,2.0,2.0,4.0,4.0,29.0,46.0,1.017,1.0,1.0,0.545,19.1,74.7,40.4,42.5,3.0,6.6,25.0,28.5,177.0,104.0,NYK,128,0,1,240.0,240.0,33.0,81.0,0.407,6.0,23.0,0.261,20.0,27.0,0.741,8.0,30.0,38.0,22.0,8.0,9.0,14.0,18.0,92.0,,0.495,0.444,0.284,0.333,17.0,75.0,43.7,66.7,8.2,18.8,13.1,100.0,94.5,131.4,,,10.0,23.0,1.0,3.0,7.0,1.0,9.0,12.0,1.0,3.0,7.0,10.0,9.0,2.0,3.0,6.0,3.0,30.0,-1.0,1.0,1.0,1.0,2.0,8.5,51.2,23.6,56.0,21.1,9.7,51.5,42.5,204.0,142.0,PHI,92,1,2024,2024-01-05,True
